source,content,date,hashtags,num_comments,num_shares,likes,share_count
Instagram,"PSV in mijn ziel, PSV in mijn hart ❤️🤍

#CreatingsStarsTogether",2025-07-11,"[""#CreatingsStarsTogether""]",57.0,,26842.0,
Instagram,"Once a PSV player, always a PSV player 😍",2025-07-11,,50.0,,16901.0,
Instagram,From father to son. A legacy continues 🤌,2025-07-11,,227.0,,29692.0,
Instagram,"Welcome home, Ruben 🥰",2025-07-11,,235.0,,21089.0,
Instagram,Back in Eindhoven - no slowing down 😤,2025-07-21,,22.0,,4954.0,
Instagram,"Home 25/26 🫱🏻‍🫲🏽

#ForeverEnergized",2025-07-11,"[""#ForeverEnergized""]",19.0,,8393.0,
Instagram,"🚩🤣

👉 PSV Play",2025-07-20,,20.0,,11338.0,
Instagram,From the pitch to the mic 🎙️,2025-07-19,,35.0,,10179.0,
Instagram,🆕,2025-07-19,,38.0,,13817.0,
Instagram,⚽️⚽️⚽️⚽️,2025-07-19,,56.0,,10884.0,
Instagram,"𝐕𝐟𝐁 𝐒𝐭𝐮𝐭𝐭𝐠𝐚𝐫𝐭 - 𝐏𝐒𝐕: 4️⃣-4️⃣
0-1 Guus
2-2 Alassane 
2-3 Mauro Jr. 
2-4 Tay

Full match tonight, PSV Play 📺",2025-07-19,,63.0,,13512.0,
Instagram,Liebe Grüße aus Deutschland 🥰,2025-07-19,,16.0,,4966.0,
Instagram,Squad vibes? Spot on 😃,2025-07-18,,39.0,,11187.0,
Instagram,Pushing limits 🥵,2025-07-18,,22.0,,9424.0,
Instagram,"Een aanvoerder met klasse. Een spits met gif. Een leider met hart. Dit is meer dan een speler. Dit is PSV.

Finales beslist. Titels gepakt. Supporters laten springen. Luuk stond er als het moest. Altijd.

Voor altijd één van ons. Een echte clublegende. 

Bedankt, Luuk! ❤️🤍",2025-08-03,,488.0,,45384.0,
Instagram,Intensity 💪,2025-07-18,,12.0,,5113.0,
Instagram,"Rust.

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",224.0,,5326.0,
Instagram,"Home turf 😍

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",18.0,,6227.0,
Instagram,"Guarding the net today.

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",7.0,,4425.0,
Instagram,"Team PSV 🔴⚪️

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",183.0,,9994.0,
Instagram,"The stage is set 🚜🌱

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",25.0,,4199.0,
Instagram,"The first trophy is at stake. 🛡

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",95.0,,8910.0,
Instagram,"𝐓𝐰𝐞𝐧𝐭𝐲-𝐨𝐧𝐞 🥳
Geniet van deze dag, Ruben 😘",2025-08-03,,69.0,,11758.0,
Instagram,"Best PSV goal in the Super Cup? 📢

#PSVGAE #JCS2025",2025-08-02,"[""#PSVGAE"",""#JCS2025""]",37.0,,7637.0,
Instagram,"Nieuw gezicht bij Jong PSV! 🧤

#CreatingStarsTogether",2025-08-02,"[""#CreatingStarsTogether""]",156.0,,6492.0,
Instagram,"But can he do it on a rainy night in Eindhoven? 😉🤷‍♂️

#CreatingStarsTogether",2025-08-01,"[""#CreatingStarsTogether""]",22.0,,9060.0,
Instagram,"Weer samen in een uitverkocht huis ❤️🤍

#PSVATH",2025-07-26,"[""#PSVATH""]",32.0,,7821.0,
Instagram,Welkom terug 🫶,2025-07-26,,18.0,,6062.0,
Instagram,Provisional squad numbers? We’ve got you. 👕,2025-07-26,,67.0,,13207.0,
Instagram,"Rood-Witten 🤝 Zuri-gorriak 🔴⚪️

#PSVATH",2025-07-26,"[""#PSVATH""]",40.0,,12655.0,
Instagram,"FANday Friendly 💥

#PSVATH",2025-07-26,"[""#PSVATH""]",22.0,,5506.0,
Instagram,"Na meer dan 10 jaar #PSVAcademy breekt er een nieuw hoofdstuk aan voor Kjell Peersman. We wensen je veel succes met dit nieuwe avontuur, Kjell ❤️🤍 

#CreatingStarsTogether",2025-07-25,"[""#PSVAcademy"",""#CreatingStarsTogether""]",26.0,,8158.0,
Instagram,"#OttenInnovationCup, het eerste podium voor grootse carrières van spelers én trainers 💫

#CreatingStarsTogether",2025-07-25,"[""#OttenInnovationCup,"",""#CreatingStarsTogether""]",17.0,,10227.0,
Instagram,"Terug in het Philips Stadion! 😎

Niet bij de wedstrijd? Kijk vanaf 17.00 uur live mee.

#PSVATH",2025-07-24,"[""#PSVATH""]",23.0,,1872.0,
Instagram,"𝑯𝒆𝒕 𝑲𝒂𝒏𝒐𝒏, we denken vandaag aan je. 
Coen Dillen (1926-1990) 🌟",2025-07-24,,15.0,,6502.0,
Instagram,Alles wat je over de PSV FANdag moet weten vind je hier 📌,2025-07-24,,54.0,,6883.0,
Instagram,"Teamwork 🤝

📺 PSV Play",2025-07-23,,21.0,,6107.0,
Instagram,"#OnThisDay in 2021: PSV 5️⃣-1️⃣ Galatasaray
What. A. Night. 🪄",2025-07-21,"[""#OnThisDay""]",556.0,,19710.0,
Instagram,"Swipe for today’s goals ⚽️⚽️

#PSVATH",2025-07-26,"[""#PSVATH""]",53.0,,14381.0,
Instagram,"Kiliann, Ruben, Yarek, Matěj & Alassane made their first appearance in our own stadium today 🔴⚪️

#PSVATH",2025-07-26,"[""#PSVATH""]",31.0,,17083.0,
Instagram,Captain ©️,2025-07-26,,39.0,,6122.0,
Instagram,"Een perfecte afsluiter van de PSV FANdag 🫡

#PSVATH",2025-07-26,"[""#PSVATH""]",113.0,,13227.0,
Instagram,"Taking the lead 🕹️

#PSVATH",2025-07-26,"[""#PSVATH""]",12.0,,6999.0,
Instagram,"Half-time ⚖️

#PSVATH",2025-07-26,"[""#PSVATH""]",80.0,,7201.0,
Instagram,Onze nieuwe captain 🫡,2025-07-26,,97.0,,11381.0,
Instagram,"Off we go. ⚽️

#PSVATH",2025-07-26,"[""#PSVATH""]",55.0,,9900.0,
Instagram,"Arrived in style 🏁

#PSVATH",2025-07-26,"[""#PSVATH""]",25.0,,10202.0,
Instagram,A fresh upgrade 😍🏟️,2025-07-26,,77.0,,15913.0,
Instagram,"Home kit debut 🔴⚪️

#PSVATH",2025-07-26,"[""#PSVATH""]",86.0,,8564.0,
Instagram,"𝐍𝐮𝐦𝐛𝐞𝐫 3️⃣, 𝐥𝐨𝐜𝐤𝐞𝐝 𝐢𝐧! 🔐
Wil je dit gesigneerde shirt winnen? PSV.nl/yarek 🎁",2025-07-10,,94.0,,8485.0,
Instagram,"Built with energy🔋 

#ForeverEnergized",2025-07-11,"[""#ForeverEnergized""]",58.0,,8328.0,
Instagram,"Sami Bouhoudane ✨
De jongste debutant in het betaald voetbal voor PSV zet zijn handtekening onder een nieuw contract! 💪

#CreatingStarsTogether",2025-07-10,"[""#CreatingStarsTogether""]",97.0,,10525.0,
Instagram,Behind-the-scenes of the big move 📸,2025-07-10,,47.0,,5809.0,
Instagram,A little more about the tall defender and his impressive stats 🔍,2025-07-10,,77.0,,11056.0,
Instagram,"A true all-round defender. Welcome to PSV, Yarek Gąsiorowski ❤️🤍",2025-07-10,,191.0,,14637.0,
Instagram,"Next friendly loading ⌛

#PSVELV",2025-07-10,"[""#PSVELV""]",25.0,,2705.0,
Instagram,"Rust ⏸️

#PSVFCE",2025-07-30,"[""#PSVFCE""]",89.0,,7752.0,
Instagram,"Ended pre-season with a win 💡

#PSVFCE",2025-07-30,"[""#PSVFCE""]",67.0,,6549.0,
Instagram,"Heel veel sterkte en kracht gewenst vanuit Eindhoven, familie Verreth. ❤️",2025-07-30,,59.0,,9167.0,
Instagram,"The final pre-season game ⏳

#PSVFCE",2025-07-30,"[""#PSVFCE""]",29.0,,4746.0,
Instagram,"Eindhovenaren 🔴⚪️

#PSVFCE",2025-07-30,"[""#PSVFCE""]",64.0,,9245.0,
Instagram,"Lichtstadderby! ⚡️

#PSVFCE",2025-07-30,"[""#PSVFCE""]",50.0,,6382.0,
Instagram,One touch starts it. One touch stops it 👀,2025-07-28,,13.0,,5966.0,
Instagram,"Once teammates at PSV, now reunited at RB Leipzig 💫",2025-07-28,,58.0,,40180.0,
Instagram,"Two games, two goals. Alassane Pléa. 🔥",2025-07-27,,59.0,,9842.0,
Instagram,Suited up for a big week 👔,2025-07-28,,19.0,,7086.0,
Instagram,"Meet our #PSVAcademy talents impressing in Klosterpforte this week 🤩

#CreatingStarsTogether",2025-07-18,"[""#PSVAcademy"",""#CreatingStarsTogether""]",18.0,,5222.0,
Instagram,"The 75th edition of the #OttenInnovationCup is getting closer ✨

Swipe to see the six rules for this year’s tournament.

#CreatingStarsTogether",2025-07-18,"[""#OttenInnovationCup"",""#CreatingStarsTogether""]",19.0,,9727.0,
Instagram,"First day, good day 🥰",2025-07-17,,45.0,,8693.0,
Instagram,Man van zijn woord 🫶,2025-07-17,,32.0,,11233.0,
Instagram,"Welkom terug, Ryan 😍",2025-07-17,,27.0,,8837.0,
Instagram,Bedankt voor alles 🏆,2025-07-17,,45.0,,11700.0,
Instagram,"Keep being yourself, Noa. We loved having you with us. Go do some 𝐝𝐚𝐦𝐚𝐠𝐞 in Italy ❤️‍🔥",2025-07-17,,225.0,,41610.0,
Instagram,𝐋𝐞𝐭 𝐡𝐢𝐦... 👨‍🍳,2025-07-17,,102.0,,14801.0,
Instagram,"Win win win! 👕
Check: psv.nl/plea",2025-07-17,,42.0,,7201.0,
Instagram,Alassane content 😁,2025-07-17,,19.0,,5162.0,
Instagram,Voici Alassane Pléa 👤🇫🇷,2025-07-17,,56.0,,14278.0,
Instagram,A special #PSVSPA edition 🤩,2025-08-08,"[""#PSVSPA""]",25.0,,9298.0,
Instagram,"World-class goal. 😮‍💨

#PSVSPA",2025-08-08,"[""#PSVSPA""]",37.0,,11243.0,
Instagram,Our all-time UEFA Champions League topscorer 🤩,2025-08-07,,21.0,,6912.0,
Instagram,"The flying Frenchman against Sparta Rotterdam 🛩️

#PSVSPA",2025-08-07,"[""#PSVSPA""]",19.0,,10852.0,
Instagram,🥰🥰,2025-08-04,,45.0,,6211.0,
Instagram,That celebration… iconic 🐐,2025-08-04,,28.0,,7490.0,
Instagram,Luuk’s last goal was an important one 🥹🤩,2025-08-04,,23.0,,14530.0,
Instagram,"His first at the Philips Stadion - and what a beauty it is 😮‍💨😮‍💨

#PSVGAE #JCS2025",2025-08-04,"[""#PSVGAE"",""#JCS2025""]",31.0,,16123.0,
Instagram,👀,2025-08-06,,101.0,,13680.0,
Instagram,#JCS2025 frames 🎞️,2025-08-06,"[""#JCS2025""]",9.0,,3835.0,
Instagram,Is this his best goal ever? 🚲,2025-08-05,,51.0,,14135.0,
Instagram,"When the trophy’s up, Luuk’s in the frame 📸",2025-08-05,,25.0,,7680.0,
Instagram,"Eens PSV’ers, voor altijd PSV’ers 🥰

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",48.0,,17668.0,
Instagram,"Heerlijk Serra 😍 

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",18.0,,9720.0,
Instagram,"Niet omdat hij de band draagt, maar omdat hij de band is ©️",2025-08-03,,608.0,,35755.0,
Instagram,Bedankt PSV’ers ❤️🤍,2025-08-03,,1746.0,,49406.0,
Instagram,"Voetbal is puur 😍

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",108.0,,21578.0,
Instagram,Jerdy Schouten neemt namens PSV de 𝐉𝐨𝐡𝐚𝐧 𝐂𝐫𝐮𝐢𝐣𝐟𝐟 𝐒𝐜𝐡𝐚𝐚𝐥 in ontvangst! 🙌,2025-08-03,,52.0,,16638.0,
Instagram,"Six unforgettable years of growth. We’re proud of what you have achieved and what’s yet to come ✨ 

#CreatingStarsTogether",2025-07-16,"[""#CreatingStarsTogether""]",109.0,,16174.0,
Instagram,"It’s hard to sum up what this place means to me. All I know is: it changed my life. Forever thankful to the club, teammates, and fans @psv",2025-07-16,,1199.0,,43614.0,
Instagram,Hoe goed heeft Ruben PSV gevolgd toen hij weg was? 👀,2025-07-16,,19.0,,6737.0,
Instagram,Live now: 𝐈𝐍𝐒𝐈𝐃𝐄 𝐓𝐫𝐚𝐢𝐧𝐢𝐧𝐠 𝐂𝐚𝐦𝐩 – day 3️⃣ & 4️⃣ ➦ PSV Play 📺,2025-07-18,,3.0,,2444.0,
Instagram,"Het was een feestje om jou in ons team te hebben, Noa 🫂",2025-07-17,,445.0,,43994.0,
Instagram,"Capture the energy ⚡️ 

#ForeverEnergized",2025-07-11,"[""#ForeverEnergized""]",54.0,,11006.0,
Instagram,Ready for the next level 📈,2025-07-10,,39.0,,8137.0,
Instagram,"LET’S GOOOO! 😤😤

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",77.0,,8599.0,
Instagram,Another trophy hunter 🏆,2025-07-15,,34.0,,10874.0,
Instagram,Guten Morgen! 🔥,2025-07-15,,15.0,,5900.0,
Instagram,"Van een fan, voor Icey 🥰",2025-07-14,,24.0,,6023.0,
Instagram,"Hattrick hero Pepi 🇺🇸

#PSVFCE",2025-07-30,"[""#PSVFCE""]",25.0,,7613.0,
Instagram,"PSV 🧬 VDL Groep sinds ‘88.

Op de dag van de Lichtstadderby verlengen we onze samenwerking en bouwen we samen verder aan een sterk Brainport Eindhoven. 💡

#PSVxVDL",2025-07-30,"[""#PSVxVDL""]",19.0,,5786.0,
Instagram,"#OTD in 2016, Davy Pröpper sealed the Super Cup win 🏆",2025-07-31,"[""#OTD""]",13.0,,3505.0,
Instagram,"Great footwork by Esmir 🤌

#PSVFCE",2025-07-31,"[""#PSVFCE""]",79.0,,13890.0,
Instagram,Stay tuned. 🇫🇷⚡,2025-07-16,,39.0,,9451.0,
Instagram,A day in the life: Matěj Kovář’s first PSV training 🤩,2025-07-15,,26.0,,6516.0,
Instagram,Special delivery: your journey begins now 📦,2025-07-15,,11.0,,7956.0,
Instagram,❤️🤍,2025-07-15,,83.0,,16811.0,
Instagram,"Een nieuwe Van Bommel 🤪

Bekijk de volledige inside van de transfers van Yarek en Ruben nu op PSV Play 📺",2025-07-11,,23.0,,7524.0,
Instagram,"Shirtje? Check! 🔴⚪️

#ForeverEnergized",2025-07-11,"[""#ForeverEnergized""]",18.0,,6259.0,
